,0
0,1
1,6
2,5
3,4
4,4
5,4
6,4
7,0
8,3
9,3
10,2
11,4
12,2
13,2
14,5
15,3
16,3
17,1
18,0
19,1
20,4
21,5
22,1
23,4
24,5
25,6
26,4
27,0
28,1
29,1
30,0
31,4
32,2
33,3
34,6
35,5
36,3
37,4
38,1
39,2
40,3
41,3
42,5
43,5
44,6
45,3
46,0
47,3
48,2
49,0
50,6
51,5
52,3
53,5
54,4
55,6
56,0
57,5
58,6
59,0
60,5
61,1
62,1
63,4
64,3
65,5
66,5
67,2
68,6
69,4
70,6
71,6
72,5
73,4
74,1
75,4
76,1
77,6
78,6
79,4
80,1
81,5
82,1
83,4
84,0
85,5
86,3
87,3
88,4
89,0
90,3
91,3
92,5
93,3
94,6
95,5
96,5
97,0
98,1
99,0
100,5
101,0
102,3
103,3
104,5
105,3
106,4
107,3
108,0
109,6
110,2
111,2
112,5
113,3
114,5
115,3
116,6
117,3
118,5
119,2
120,6
121,0
122,5
123,3
124,3
125,3
126,4
127,5
128,1
129,3
130,5
131,5
132,3
133,6
134,3
135,0
136,5
137,5
138,5
139,3
140,0
141,4
142,1
143,1
144,6
145,6
146,3
147,0
148,3
149,0
150,4
151,1
152,0
153,0
154,6
155,5
156,4
157,1
158,5
159,4
160,0
161,3
162,0
163,5
164,3
165,3
166,1
167,3
168,3
169,6
170,1
171,4
172,3
173,3
174,5
175,3
176,6
177,3
178,5
179,2
180,2
181,4
182,0
183,3
184,4
185,4
186,0
187,0
188,5
189,2
190,0
191,5
192,4
193,0
194,4
195,5
196,6
197,4
198,0
199,2
200,6
201,1
202,5
203,2
204,6
205,1
206,6
207,5
208,0
209,1
210,4
211,0
212,3
213,3
214,4
215,3
216,3
217,5
218,0
219,2
220,4
221,5
222,2
223,3
224,4
225,5
226,4
227,6
228,3
229,3
230,5
231,5
232,3
233,5
234,3
235,0
236,3
237,4
238,4
239,4
240,0
241,6
242,2
243,6
244,0
245,2
246,5
247,3
248,4
249,4
250,0
251,6
252,0
253,0
254,5
255,5
256,5
257,4
258,0
259,6
260,6
261,5
262,3
263,3
264,6
265,2
266,6
267,6
268,0
269,1
270,6
271,2
272,0
273,5
274,4
275,1
276,6
277,0
278,3
279,3
280,5
281,3
282,1
283,3
284,4
285,5
286,3
287,3
288,3
289,6
290,3
291,3
292,3
293,5
294,3
295,0
296,3
297,2
298,0
299,4
300,5
301,5
302,0
303,5
304,2
305,0
306,4
307,2
308,4
309,5
310,3
311,3
312,0
313,2
314,3
315,6
316,0
317,6
318,5
319,5
320,3
321,3
322,0
323,0
324,5
325,5
326,5
327,0
328,2
329,3
330,0
331,0
332,5
333,6
334,4
335,3
336,5
337,6
338,6
339,2
340,5
341,5
342,5
343,6
344,6
345,4
346,0
347,6
348,3
349,6
350,0
351,0
352,4
353,4
354,2
355,3
356,0
357,0
358,4
359,3
360,4
361,0
362,6
363,5
364,5
365,5
366,5
367,5
368,2
369,3
370,4
371,0
372,3
373,0
374,3
375,3
376,1
377,4
378,5
379,4
380,6
381,3
382,4
383,0
384,1
385,4
386,5
387,0
388,2
389,4
390,1
391,5
392,4
393,5
394,1
395,2
396,3
397,3
398,6
399,5
400,4
401,5
402,1
403,0
404,6
405,4
406,5
407,0
408,5
409,6
410,0
411,0
412,6
413,0
414,3
415,1
416,2
417,5
418,0
419,3
420,2
421,5
422,0
423,0
424,2
425,6
426,1
427,4
428,5
429,6
430,0
431,5
432,4
433,3
434,4
435,3
436,5
437,4
438,1
439,5
440,6
441,0
442,6
443,5
444,1
445,4
446,0
447,5
448,1
449,5
450,4
451,3
452,4
453,6
454,5
455,3
456,6
457,6
458,5
459,4
460,1
461,0
462,3
463,1
464,4
465,4
466,1
467,5
468,0
469,6
470,2
471,6
472,0
473,4
474,3
475,0
476,6
477,5
478,0
479,3
480,0
481,6
482,5
483,4
484,5
485,1
486,1
487,3
488,6
489,3
490,6
491,3
492,3
493,5
494,5
495,0
496,3
497,3
498,5
499,6
500,6
501,0
502,0
